actual_name,predicted_name,is_correct,predicted_image_path,known_image_path
Aaron_Peirsol,Aaron_Peirsol,True,../known_faces\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,../unknown_faces\Aaron_Peirsol_0003.jpg
Aaron_Peirsol,Aaron_Peirsol,True,../known_faces\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,../unknown_faces\Aaron_Peirsol_0004.jpg
Aaron_Sorkin,Aaron_Sorkin,True,../known_faces\Aaron_Sorkin\Aaron_Sorkin_0001.jpg,../unknown_faces\Aaron_Sorkin_0002.jpg
Abdel_Nasser_Assidi,Jose_Mourinho,False,../known_faces\Jose_Mourinho\Jose_Mourinho_0001.jpg,../unknown_faces\Abdel_Nasser_Assidi_0002.jpg
Abdoulaye_Wade,Abdoulaye_Wade,True,../known_faces\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,../unknown_faces\Abdoulaye_Wade_0003.jpg
Abdoulaye_Wade,Abdoulaye_Wade,True,../known_faces\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,../unknown_faces\Abdoulaye_Wade_0004.jpg
Abdullah,Abdullah,True,../known_faces\Abdullah\Abdullah_0002.jpg,../unknown_faces\Abdullah_0003.jpg
Abdullah,Abdullah,True,../known_faces\Abdullah\Abdullah_0001.jpg,../unknown_faces\Abdullah_0004.jpg
Abdullah_al-Attiyah,Jonathan_Edwards,False,../known_faces\Jonathan_Edwards\Jonathan_Edwards_0002.jpg,../unknown_faces\Abdullah_al-Attiyah_0002.jpg
Abdullah_al-Attiyah,Abdullah_al-Attiyah,True,../known_faces\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg,../unknown_faces\Abdullah_al-Attiyah_0003.jpg
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0008.jpg,../unknown_faces\Abdullah_Gul_0010.jpg
Abdullah_Gul,Pete_Sampras,False,../known_faces\Pete_Sampras\Pete_Sampras_0001.jpg,../unknown_faces\Abdullah_Gul_0011.jpg
