actual_name,predicted_name,is_correct,predicted_image_path,known_image_path,distance
Aaron_Peirsol,Aaron_Peirsol,True,../known_faces\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,../unknown_faces\Aaron_Peirsol_0003.jpg,0.26641571521759033
Aaron_Peirsol,Aaron_Peirsol,True,../known_faces\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,../unknown_faces\Aaron_Peirsol_0004.jpg,
Aaron_Sorkin,Aaron_Sorkin,True,../known_faces\Aaron_Sorkin\Aaron_Sorkin_0001.jpg,../unknown_faces\Aaron_Sorkin_0002.jpg,
Abdel_Nasser_Assidi,Jose_Mourinho,False,../known_faces\Jose_Mourinho\Jose_Mourinho_0001.jpg,../unknown_faces\Abdel_Nasser_Assidi_0002.jpg,
Abdoulaye_Wade,Abdoulaye_Wade,True,../known_faces\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,../unknown_faces\Abdoulaye_Wade_0003.jpg,0.4748046398162842
Abdoulaye_Wade,Abdoulaye_Wade,True,../known_faces\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,../unknown_faces\Abdoulaye_Wade_0004.jpg,0.4661758244037628
Abdullah,Abdullah,True,../known_faces\Abdullah\Abdullah_0002.jpg,../unknown_faces\Abdullah_0003.jpg,0.3783861994743347
Abdullah,Abdullah,True,../known_faces\Abdullah\Abdullah_0001.jpg,../unknown_faces\Abdullah_0004.jpg,0.36538031697273254
Abdullah_al-Attiyah,Jonathan_Edwards,False,../known_faces\Jonathan_Edwards\Jonathan_Edwards_0002.jpg,../unknown_faces\Abdullah_al-Attiyah_0002.jpg,
Abdullah_al-Attiyah,Abdullah_al-Attiyah,True,../known_faces\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg,../unknown_faces\Abdullah_al-Attiyah_0003.jpg,0.3297860324382782
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0008.jpg,../unknown_faces\Abdullah_Gul_0010.jpg,0.08815489709377289
Abdullah_Gul,Pete_Sampras,False,../known_faces\Pete_Sampras\Pete_Sampras_0001.jpg,../unknown_faces\Abdullah_Gul_0011.jpg,
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0007.jpg,../unknown_faces\Abdullah_Gul_0012.jpg,0.19898846745491028
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0007.jpg,../unknown_faces\Abdullah_Gul_0013.jpg,0.13280215859413147
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0008.jpg,../unknown_faces\Abdullah_Gul_0014.jpg,0.14185187220573425
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0007.jpg,../unknown_faces\Abdullah_Gul_0015.jpg,0.275674045085907
Abdullah_Gul,Recep_Tayyip_Erdogan,False,../known_faces\Recep_Tayyip_Erdogan\Recep_Tayyip_Erdogan_0004.jpg,../unknown_faces\Abdullah_Gul_0016.jpg,0.3319401144981384
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0001.jpg,../unknown_faces\Abdullah_Gul_0017.jpg,0.167251318693161
Abdullah_Gul,Abdullah_Gul,True,../known_faces\Abdullah_Gul\Abdullah_Gul_0007.jpg,../unknown_faces\Abdullah_Gul_0018.jpg,0.26043447852134705
Abdullah_Gul,Recep_Tayyip_Erdogan,False,../known_faces\Recep_Tayyip_Erdogan\Recep_Tayyip_Erdogan_0004.jpg,../unknown_faces\Abdullah_Gul_0019.jpg,0.2617354094982147
Abdullatif_Sener,Abdullatif_Sener,True,../known_faces\Abdullatif_Sener\Abdullatif_Sener_0001.jpg,../unknown_faces\Abdullatif_Sener_0002.jpg,
Abel_Pacheco,Abel_Pacheco,True,../known_faces\Abel_Pacheco\Abel_Pacheco_0002.jpg,../unknown_faces\Abel_Pacheco_0003.jpg,0.20244991779327393
Abel_Pacheco,Abel_Pacheco,True,../known_faces\Abel_Pacheco\Abel_Pacheco_0002.jpg,../unknown_faces\Abel_Pacheco_0004.jpg,
Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti,True,../known_faces\Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,../unknown_faces\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,
Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti,True,../known_faces\Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,../unknown_faces\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,0.4684705138206482
Adam_Sandler,Adam_Sandler,True,../known_faces\Adam_Sandler\Adam_Sandler_0002.jpg,../unknown_faces\Adam_Sandler_0003.jpg,0.4090902805328369
Adam_Sandler,Adam_Sandler,True,../known_faces\Adam_Sandler\Adam_Sandler_0002.jpg,../unknown_faces\Adam_Sandler_0004.jpg,
Adam_Scott,Marat_Safin,False,../known_faces\Marat_Safin\Marat_Safin_0001.jpg,../unknown_faces\Adam_Scott_0002.jpg,
Adel_Al-Jubeir,Adel_Al-Jubeir,True,../known_faces\Adel_Al-Jubeir\Adel_Al-Jubeir_0001.jpg,../unknown_faces\Adel_Al-Jubeir_0002.jpg,0.27289366722106934
Adel_Al-Jubeir,Adel_Al-Jubeir,True,../known_faces\Adel_Al-Jubeir\Adel_Al-Jubeir_0001.jpg,../unknown_faces\Adel_Al-Jubeir_0003.jpg,0.19408497214317322
Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser,True,../known_faces\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0001.jpg,../unknown_faces\Adolfo_Aguilar_Zinser_0002.jpg,0.2927660346031189
Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser,True,../known_faces\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0001.jpg,../unknown_faces\Adolfo_Aguilar_Zinser_0003.jpg,0.41510626673698425
Adolfo_Rodriguez_Saa,Adolfo_Rodriguez_Saa,True,../known_faces\Adolfo_Rodriguez_Saa\Adolfo_Rodriguez_Saa_0001.jpg,../unknown_faces\Adolfo_Rodriguez_Saa_0002.jpg,
Adrian_McPherson,Adrian_McPherson,True,../known_faces\Adrian_McPherson\Adrian_McPherson_0001.jpg,../unknown_faces\Adrian_McPherson_0002.jpg,0.3749440014362335
Adrian_Nastase,Adrian_Nastase,True,../known_faces\Adrian_Nastase\Adrian_Nastase_0001.jpg,../unknown_faces\Adrian_Nastase_0002.jpg,0.4587688744068146
Adrien_Brody,Adrien_Brody,True,../known_faces\Adrien_Brody\Adrien_Brody_0005.jpg,../unknown_faces\Adrien_Brody_0007.jpg,0.32251983880996704
Adrien_Brody,Adrien_Brody,True,../known_faces\Adrien_Brody\Adrien_Brody_0004.jpg,../unknown_faces\Adrien_Brody_0008.jpg,0.3049190044403076
Adrien_Brody,Adrien_Brody,True,../known_faces\Adrien_Brody\Adrien_Brody_0001.jpg,../unknown_faces\Adrien_Brody_0009.jpg,0.40086522698402405
Adrien_Brody,Adrien_Brody,True,../known_faces\Adrien_Brody\Adrien_Brody_0001.jpg,../unknown_faces\Adrien_Brody_0010.jpg,0.35837918519973755
Adrien_Brody,Adrien_Brody,True,../known_faces\Adrien_Brody\Adrien_Brody_0001.jpg,../unknown_faces\Adrien_Brody_0011.jpg,0.2818042039871216
Adrien_Brody,Adrien_Brody,True,../known_faces\Adrien_Brody\Adrien_Brody_0006.jpg,../unknown_faces\Adrien_Brody_0012.jpg,
Ahmad_Masood,Ahmad_Masood,True,../known_faces\Ahmad_Masood\Ahmad_Masood_0001.jpg,../unknown_faces\Ahmad_Masood_0002.jpg,
